Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
bfb0d055-557b-4579-1a3b-78cc2ead82c9,1984-09-07,,999-39-8409,S99967015,X84537503X,Mr.,Cristian531,Arturo47,Valenzuela371,,,M,white,hispanic,M,Caracas  Capital District  VE,536 Rath Crossing Unit 5,Agawam,Massachusetts,Hampden County,25013,01030,42.076026467192186,-72.70251858772936,156950.13,614762.33,149485
df4576f2-f38f-02c0-b20f-6153754c41a6,2022-04-12,,999-47-9022,,,,Barry322,Douglas31,Yundt842,,,,black,nonhispanic,M,Cambridge  Massachusetts  US,694 Champlin Gardens,Taunton,Massachusetts,Bristol County,25005,02718,41.81385181586756,-70.99330405299888,63492.51,0.00,83800
235bd53d-07f7-5874-c952-5126acfab01e,2001-04-05,,999-63-3707,S99927628,X53633404X,Mr.,Leo278,Matthew562,Marquardt819,,,,white,hispanic,M,Lowell  Massachusetts  US,1020 Lang Boulevard,Lynn,Massachusetts,Essex County,25009,01904,42.496888461920335,-70.95082231037388,5230.72,83744.81,20069
f84719a0-d28d-ec20-64a8-a17992dcd9ac,1970-08-12,,999-41-5203,S99926308,X49509980X,Mr.,Seth414,Dick869,Rempel203,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,280 Prohaska Divide,Boston,Massachusetts,Suffolk County,25025,02151,42.40649031790667,-71.05977091506092,123334.94,9345.70,48042
5dd32bff-9eaf-50ef-db4f-c6065be13792,1991-04-13,,999-23-7686,S99912062,X12202934X,Mrs.,Latia151,,Gaylord332,,Schuppe920,M,white,nonhispanic,F,Winthrop  Massachusetts  US,675 Hoppe Orchard Unit 18,Rockport,Massachusetts,Essex County,25009,01966,42.653417025703206,-70.57525656189334,15564.13,949768.10,5611
3c6d02df-84f2-f9e2-8e09-852349757293,1991-04-16,,999-58-3098,S99913378,X49934618X,Mrs.,Alise864,Francisca486,Swift555,,Carroll471,M,white,nonhispanic,F,Brockton  Massachusetts  US,300 Dietrich Fort Suite 70,Bedford,Massachusetts,Middlesex County,25017,01730,42.53537034800621,-71.25900264749025,115441.65,693056.46,432281
0e697a7b-149b-602d-af6f-7e76ca18c5d7,2009-12-04,,999-91-8388,S99913987,,,Cleveland582,,Gleichner915,,,,white,nonhispanic,M,Boston  Massachusetts  US,738 McCullough Union Apt 50,Boston,Massachusetts,Suffolk County,25025,02125,42.389821964772366,-71.11133210747629,2697.51,53231.37,5293
155649eb-5d3e-41ca-5a2c-78972a1721f4,1967-07-20,1992-04-07,999-82-7817,S99972328,X31591077X,Ms.,Milissa240,Shyla233,Mosciski958,,,,white,nonhispanic,F,Montague  Massachusetts  US,968 Medhurst Course,Abington,Massachusetts,Plymouth County,25023,02351,42.08412320546255,-70.9271960204984,12720.31,546466.97,12180
8c562216-cb73-0829-2fa4-123468939df6,1980-07-07,,999-46-2236,S99996083,X53419170X,Mrs.,Zulema784,,Miller503,,McKenzie376,D,white,nonhispanic,F,Boston  Massachusetts  US,144 Schamberger Flat Apt 5,Boston,Massachusetts,Suffolk County,25025,02151,42.38966107504885,-71.06453886899693,13076.16,1062350.55,6456
a24f1dcf-ef87-f609-183a-d00bcc9b7292,1980-04-13,,999-92-4665,S99923899,X81812822X,Mr.,Preston275,Alden634,Gislason620,,,D,white,nonhispanic,M,Southborough  Massachusetts  US,901 Lesch View,Barre,Massachusetts,Worcester County,25027,01005,42.396449805603254,-72.0761783421509,240809.03,0.00,118017
7225d50f-9363-214e-02d6-3fdc2a246bdc,2003-12-25,,999-27-9566,S99929980,X5978444X,Ms.,Genevive999,Samuel331,Wunsch504,,,,black,nonhispanic,F,Wayland  Massachusetts  US,897 Wuckert Vale Apt 15,Northwest Harwich,Massachusetts,Barnstable County,,00000,41.66755416477723,-70.15224350928273,59811.79,6683.12,58177
ad37dc95-561f-9348-6577-eff9b22d47c2,1978-05-20,,999-77-1224,S99914187,X63204269X,Mr.,Mario764,Agustín529,Trejo396,,,S,black,hispanic,M,San Salvador  El Salvador  SV,313 Ankunding Mission,Agawam,Massachusetts,Hampden County,25013,01001,42.04323568319004,-72.6745681119699,62885.72,63937.08,59234
9b5ce034-80bf-4c6b-f400-3a89fc0d135b,1931-06-12,,999-90-7776,S99930199,X38480579X,Mr.,Ty725,Chi716,Gutkowski940,,,M,white,nonhispanic,M,Northampton  Massachusetts  US,333 Crooks Track,Weymouth,Massachusetts,Norfolk County,25021,02191,42.175765101241915,-70.9744739926731,347260.81,526293.74,45996
b09b332a-a8b1-5541-6855-d6420f922505,2010-11-07,,999-53-8478,,,,Aron520,Antone63,Grady603,,,,white,nonhispanic,M,Gloucester  Massachusetts  US,280 Lowe Lock,Bourne,Massachusetts,Barnstable County,25001,02532,41.74217049439334,-70.59174798810234,20672.28,2558.34,50748
e7fccc97-5df9-b27f-8322-44fd5b624936,1962-03-31,2017-09-17,999-13-3014,S99972151,X66971265X,Mr.,Grover559,Angel97,Lehner980,,,M,white,nonhispanic,M,Topsfield  Massachusetts  US,674 Luettgen Track Unit 50,Waltham,Massachusetts,Middlesex County,25017,02472,42.40813456876823,-71.25483807605784,77410.12,149195.94,23551
1f534514-2f45-191e-04b4-ad9e93bdf422,1994-01-06,,999-29-3683,S99975407,X26160245X,Mrs.,Oneida64,,Wehner319,JD,Leffler128,M,white,nonhispanic,F,Boston  Massachusetts  US,929 Gibson Camp Unit 54,Framingham,Massachusetts,Middlesex County,25017,01702,42.270827664245765,-71.47725149670904,12424.34,771181.05,2934
dd0de87d-2596-9c38-a834-6f5246a48a51,1967-07-20,,999-63-7682,S99981660,X29515180X,Mrs.,Marya246,Charlsie105,Armstrong51,,Connelly992,D,white,nonhispanic,F,Marshfield  Massachusetts  US,260 Renner Byway,Abington,Massachusetts,Plymouth County,25023,02351,42.11700687927373,-70.91917866203696,71125.93,1377305.64,12180
219c0f88-2190-9af2-4122-bcf1c4f4a0bf,2025-03-30,,999-37-6050,,,,Jay242,,Frami345,,,,white,nonhispanic,M,Northwest Harwich  Massachusetts  US,298 Effertz Landing,Montague,Massachusetts,Franklin County,,00000,42.52837635464618,-72.51703804443125,4745.08,571.88,171293
3eee4689-2d02-6ec9-c257-42b3adfdcd70,1962-03-31,2004-08-22,999-44-3952,S99947097,X5967508X,Mr.,Hilario934,Ollie731,Farrell962,,,D,white,nonhispanic,M,Salem  Massachusetts  US,579 Barrows Meadow Apt 32,Waltham,Massachusetts,Middlesex County,25017,02452,42.415180540678605,-71.22579376273679,97625.00,760498.04,23551
9cefc3e8-33f8-beac-d280-fb10e474151c,1987-08-19,,999-99-3518,S99974998,X3895349X,Mrs.,Delmy607,,Satterfield305,,Kshlerin58,M,white,nonhispanic,F,Pepperell  Massachusetts  US,478 Torp Station Apt 95,Plainville,Massachusetts,Norfolk County,,00000,41.98136729649489,-71.31278695716458,15005.49,821949.38,779
cc4e166f-53eb-f57b-fb9c-72dddeeb448f,1966-10-13,,999-19-3421,S99959610,X38885476X,Mrs.,Detra426,Dedra50,Pfeffer420,,Lockman863,D,white,nonhispanic,F,Ipswich  Massachusetts  US,199 Stehr Neck,Quincy,Massachusetts,Norfolk County,25021,02186,42.20849976575191,-70.95584006143257,131478.28,731547.73,25056
dda456b9-cd60-e91b-8a88-fd381a9e4611,1967-05-27,,999-16-5333,S99993396,X25564408X,Mr.,Frankie174,Marquis364,Mohr916,,,M,white,nonhispanic,M,Canton  Massachusetts  US,314 Hamill Trace,Brookline,Massachusetts,Norfolk County,25021,02445,42.30351136628337,-71.1436652802336,173112.76,36032.47,118634
d1e9c67e-e701-dbf5-aa21-bb9ae3751b97,2020-10-22,,999-46-4488,,,,Carlos172,Kieth891,Lockman863,,,,white,nonhispanic,M,Needham  Massachusetts  US,245 Hammes Quay,Beverly,Massachusetts,Essex County,25009,01915,42.55306253853722,-70.86157894467463,13470.14,0.00,65116
047f3ed4-bdea-7cd6-6e80-8537a3979cc6,1962-03-31,,999-48-1137,S99946919,X72754217X,Mr.,Nathanial472,,Jenkins714,,,M,white,nonhispanic,M,Medfield  Massachusetts  US,217 Bergstrom Crossing,Waltham,Massachusetts,Middlesex County,25017,02472,42.436304337362586,-71.26125830483491,115945.82,117974.43,23551
dd55f477-af88-4543-f8c0-dca25a96c4cb,2002-04-02,,999-82-3646,S99976391,X15074001X,Ms.,Nina110,,Mohr916,,,,white,nonhispanic,F,Boston  Massachusetts  US,520 Cummings Promenade Suite 59,Worcester,Massachusetts,Worcester County,25027,01610,42.27049089335825,-71.85024912043052,52900.32,27887.10,49763
f2df6bf3-460e-f410-cac9-472739e5df85,2025-09-22,,999-61-3327,,,,Jamie386,Bernie827,Dickinson688,,,,white,nonhispanic,M,Hopkinton  Massachusetts  US,460 Gottlieb Run Suite 1,Springfield,Massachusetts,Hampden County,25013,01013,42.101662705416416,-72.65221642301492,100.00,2725.99,15722
910f9d72-b5f2-60bf-8302-274ac5d74635,2009-03-07,,999-22-3626,S99959830,,,Lynn917,,Lemke654,,,,white,nonhispanic,M,Worcester  Massachusetts  US,195 Kohler Mall Suite 93,Raynham,Massachusetts,Bristol County,,00000,41.94156404887977,-71.00962524885837,37708.85,0.00,167851
9e25d332-9229-0803-ad9f-ca235142458e,1980-04-05,2017-09-13,999-79-6148,S99977601,X76141374X,Mrs.,Pei116,Yasmine182,Kerluke267,,Rippin620,M,white,nonhispanic,F,Methuen  Massachusetts  US,401 Willms Mall,Malden,Massachusetts,Middlesex County,25017,02148,42.41842776746668,-71.14585858450741,389973.48,90877.51,107308
073b376b-9659-3e78-c6a6-a08b74d710da,2007-06-20,,999-62-9274,S99944405,,Mr.,Andrés117,Diego848,Sanches349,,,,white,hispanic,M,Santiago  Santiago Province  CL,1093 Franecki Extension Suite 9,Peabody,Massachusetts,Essex County,25009,01960,42.55574112446173,-70.9224896373176,3569.61,53079.89,24590
e8b56457-438e-7a2e-04ee-e0b2ec149f61,1982-07-27,,999-47-7408,S99958789,X13510823X,Mrs.,Gaynell126,Wesley533,Tremblay80,,Watsica258,M,white,nonhispanic,F,Quincy  Massachusetts  US,423 Ryan Track Suite 98,Attleboro,Massachusetts,Bristol County,44007,02861,41.933703878629515,-71.33285439493469,376556.06,666140.40,83884
bee08b10-0c18-396e-9f8a-03e41691509b,2019-09-20,,999-43-3571,,,,Rex53,Preston275,West559,,,,other,nonhispanic,M,Chester  Massachusetts  US,296 Stehr Mill,East Pepperell,Massachusetts,Middlesex County,,00000,42.64672892341493,-71.52779022636874,17611.18,1339.86,65573
8fcbd58f-7e61-d74d-9b35-46d267ecbbd3,1980-04-05,,999-47-6120,S99965312,X9134305X,Mrs.,Denny560,Salley758,Cruickshank494,,Cormier289,M,white,nonhispanic,F,Winchester  Massachusetts  US,900 Bailey Bypass,Malden,Massachusetts,Middlesex County,25017,02155,42.447575610616255,-71.1067538022888,475911.21,975579.23,107308
820d39a0-d304-2b9d-25a8-d705deede745,1947-06-15,,999-88-1173,S99927786,X62723055X,Mrs.,Coletta724,Pa577,Torphy630,,Pacocha935,M,white,nonhispanic,F,Natick  Massachusetts  US,468 Funk Course,Leominster,Massachusetts,Worcester County,25027,01453,42.53039905352597,-71.77410469592763,890652.26,409323.45,94197
4f0c6acb-066b-1f8d-228d-5e5a973d1fef,1957-04-16,,999-67-5223,S99981969,X88592562X,Mr.,Ward668,Fernando603,Daniel959,,,M,white,nonhispanic,M,West Brookfield  Massachusetts  US,184 Pacocha Parade Apt 82,Lawrence,Massachusetts,Essex County,25009,01841,42.68665745498736,-71.16706878866113,12198.28,234319.69,15044
01974f36-ced2-c38e-32c5-1b09e1fe1638,1970-10-02,,999-92-4790,S99935023,X3115535X,Mrs.,Ester635,Soledad678,Rojo930,,Barragán638,D,white,hispanic,F,Lima  Lima Province  PE,755 Moore Ranch,Bedford,Massachusetts,Middlesex County,25017,01730,42.50223645596116,-71.32436234970557,776751.88,94258.12,73836
d7b30817-a7e4-d7c5-8582-63d251b6f98c,2009-04-01,,999-75-5939,S99934968,,,Dwana281,Zetta950,Halvorson124,,,,white,nonhispanic,F,Quincy  Massachusetts  US,402 Roberts Loaf Suite 67,Brookline,Massachusetts,Norfolk County,25021,02446,42.37916466885808,-71.11070333529834,36591.01,2747.07,875923
19e9c5a5-4114-0f95-e5e8-29cd6749d4e1,1962-01-10,,999-63-7337,S99975333,X84287625X,Mrs.,Beata187,,Kulas532,,Block661,M,white,nonhispanic,F,Billerica  Massachusetts  US,289 Oberbrunner Path,Mansfield,Massachusetts,Bristol County,,00000,41.97987528919383,-71.25124669324425,166784.92,778590.94,452061
57b901cb-d3d2-258c-2773-57008eb32345,2015-11-02,,999-12-2602,,,,Rufus33,Rufus33,Ritchie586,,,,white,nonhispanic,M,Salem  Massachusetts  US,445 Swaniawski Throughway,Mansfield,Massachusetts,Bristol County,,00000,41.984913182851585,-71.25240433132254,35949.82,24592.72,62177
a992fe7d-cd9b-0ace-6e0b-f6f0b5f01fc3,1929-10-26,,999-64-7745,S99973537,X24723883X,Mr.,Alfonzo975,,Kling921,,,W,white,nonhispanic,M,Westminster  Massachusetts  US,297 Ebert Street Unit 55,Quincy,Massachusetts,Norfolk County,25021,02186,42.27208532284996,-70.95974342534636,187715.74,208234.44,570170
ed1c3b46-34b9-221b-cb10-682e9ed9ddbd,1970-06-18,,999-13-4664,S99939562,X68113158X,Mrs.,Merri201,,Hauck852,,Gibson10,W,white,nonhispanic,F,Amherst Center  Massachusetts  US,797 Lind Center Suite 50,Dartmouth,Massachusetts,Bristol County,,00000,41.553157705405916,-70.98333296214271,218725.73,685095.13,165663
e1571870-cf37-1c6b-c97f-c4ab9a32b172,1987-06-04,,999-56-6432,S99968485,X34257456X,Ms.,Tisha655,Chang901,Dickens475,,,S,white,nonhispanic,F,Marblehead  Massachusetts  US,298 Greenfelder Club Apt 77,Haverhill,Massachusetts,Essex County,25009,01835,42.71386398902157,-71.0857892021609,303147.80,425594.92,73984
668a10b4-c005-0df3-522e-b068e0d29ea9,2010-10-29,,999-43-4576,,,,Kory651,Oren284,White193,,,,white,nonhispanic,M,Easthampton  Massachusetts  US,405 Jones Throughway Unit 36,Raynham,Massachusetts,Bristol County,,00000,41.937127481939925,-71.0564278231514,7019.71,391131.42,106119
c95c96d5-ac6e-6ab6-143b-6da3e3923f39,1974-08-07,,999-37-6740,S99911728,X75958339X,Mr.,Gabriel934,Wes853,Konopelski743,,,M,white,nonhispanic,M,Attleboro  Massachusetts  US,1006 Ferry Trace Suite 28,White Island Shores,Massachusetts,Plymouth County,,00000,41.77276835419956,-70.63427097779679,10536.70,159514.59,11492
671064b5-039b-51a8-7e40-8e6baa0a7e35,2012-10-06,,999-59-7614,,,,Jaqueline846,Sharmaine326,Wyman904,,,,white,nonhispanic,F,Bridgewater  Massachusetts  US,178 Johnston Manor,Yarmouth,Massachusetts,Barnstable County,,00000,41.71548062922362,-70.20729173200074,2862.90,45133.35,16734
4f74c441-7628-4f98-82a7-f4c99d926736,2021-12-18,,999-48-9095,,,,Archie818,,Walter473,,,,asian,nonhispanic,M,Falmouth  Massachusetts  US,602 Pagac Station,Haverhill,Massachusetts,Essex County,25009,01835,42.756763609575565,-71.08597211985924,8236.39,454.08,453843
12a088f3-264b-6a9f-9a57-678747110969,1970-12-13,,999-34-1962,S99978318,X7262802X,Ms.,Elsa29,Rocio28,Crespo500,,,S,white,hispanic,F,Caracas  Capital District  VE,380 Bins Drive,Randolph,Massachusetts,Norfolk County,25021,02368,42.207095186686665,-71.03779934638864,26866.61,1065379.02,68676
11b2d013-d581-7187-e88b-7a04781d307b,1963-03-18,,999-27-2681,S99962279,X52040912X,Mrs.,Bula88,Roxane435,Johnston597,,DuBuque211,W,white,hispanic,F,Shrewsbury  Massachusetts  US,878 Kihn Junction Unit 55,Boston,Massachusetts,Suffolk County,25025,02115,42.327318124839636,-71.08282009480537,41103.91,1240418.75,97711
e126e379-083f-ea08-0358-303361acf072,1955-10-21,,999-29-6719,S99990427,X48547278X,Mr.,Rogelio17,Carroll471,Predovic534,PhD,,M,white,nonhispanic,M,Westford  Massachusetts  US,205 Carter Light Unit 68,Sandwich,Massachusetts,Barnstable County,25001,02563,41.69864736382662,-70.52830966917658,191895.17,94545.36,145182
20f1f5b5-38be-6554-7a24-9fcc8d4bd6c4,1979-08-22,,999-43-7477,S99944782,X31284652X,Mrs.,Phylicia571,,Anderson154,,Schimmel440,M,white,nonhispanic,F,Tyngsborough  Massachusetts  US,313 Lueilwitz Approach Unit 50,Boston,Massachusetts,Suffolk County,25025,02120,42.34794029365088,-71.16764464019391,212786.01,1481188.45,482223
88f931d5-4cfa-4be9-c6be-738d5fc8c215,1980-01-15,,999-52-1872,S99991493,X86261266X,Mr.,Benito209,Lonny638,Stehr398,,,M,white,nonhispanic,M,West Dennis  Massachusetts  US,686 Metz Run,Ludlow,Massachusetts,Hampden County,,00000,42.1425268287549,-72.43132201225592,120326.39,14575.25,27693
8e21cb1f-b016-dda9-1d06-c920c24a0b37,2001-09-13,,999-21-6811,S99914001,X10592162X,Ms.,Delfina519,,Hammes673,,,,white,hispanic,F,Beverly  Massachusetts  US,273 Schamberger Burg,Haverhill,Massachusetts,Essex County,25009,01835,42.7026181026151,-71.10938109020881,6800.07,119641.83,5309
3408cffd-cbea-0de1-e3a8-8b0b86bb5637,2002-04-24,,999-98-9702,S99967748,X71245692X,Mr.,Richie600,Valentine262,Lowe577,,,,white,nonhispanic,M,Danvers  Massachusetts  US,819 O'Connell Knoll Apt 34,Northampton,Massachusetts,Hampshire County,25015,01063,42.33733662318537,-72.65107936898136,3893.16,52384.85,10484
e300c149-9eaa-3d5a-57d9-ea8d4c996597,1989-06-14,,999-32-7303,S99986423,X88672983X,Mr.,Merrill415,,Cassin499,,,D,white,nonhispanic,M,Acushnet  Massachusetts  US,1055 Beier Estate,Quincy,Massachusetts,Norfolk County,25021,02170,42.211465287077274,-71.10689413447197,40834.22,54780.85,832682
f5de0af7-bfb4-270e-8175-e12515583ea8,1995-07-02,,999-99-9200,S99913647,X64184109X,Mrs.,Ophelia894,Arlyne429,Dickens475,,Pagac496,M,white,nonhispanic,F,Newburyport  Massachusetts  US,1060 Sawayn Boulevard,Boston,Massachusetts,Suffolk County,25025,02109,42.31210628664432,-71.10937089834648,130923.49,160310.14,493034
c72a8c6e-1dfd-0a8b-20e7-066eadd4931c,1980-08-12,,999-44-9956,S99976557,X16320671X,Mrs.,Addie421,Isabelle619,Johns824,,DuBuque211,M,white,nonhispanic,F,Attleboro  Massachusetts  US,830 Halvorson Plaza,Arlington,Massachusetts,Middlesex County,25017,02474,42.420735605226476,-71.11843070411268,441010.63,243836.19,36680
b4679b26-64ac-c348-6667-1e9093ae866f,2014-03-22,,999-63-3664,,,,Willia886,,Pollich983,,,,white,nonhispanic,F,Amesbury  Massachusetts  US,576 Gislason Gateway,Mashpee,Massachusetts,Barnstable County,,00000,41.63176558921966,-70.47985265268593,41865.02,9826.82,957179
a82f0145-e797-d65d-bebf-e49dd38bac1e,1996-12-29,,999-59-6052,S99970461,X14972140X,Mrs.,Nichelle912,Serafina151,Bartell116,,Legros616,M,black,nonhispanic,F,Milton  Massachusetts  US,619 Franecki Divide,Boston,Massachusetts,Suffolk County,25025,02124,42.300825241148246,-71.17433223658593,97096.60,273221.35,27874
07052ffe-5096-f813-923b-f3a32be34399,2000-11-01,,999-27-1277,S99999871,X21783547X,Mr.,Mariano761,,Thiel172,,,,white,nonhispanic,M,Norwood  Massachusetts  US,843 Quigley Dale,Newburyport,Massachusetts,Essex County,25009,01951,42.86231960527577,-70.85681416987475,7557.11,59657.98,6219
ea7deb48-7fa5-3406-28b9-051b0c18d363,1996-10-01,,999-81-4869,S99949157,X60361510X,Mr.,Shannon293,Donovan745,Harvey63,,,M,white,nonhispanic,M,Boston  Massachusetts  US,484 White Trail,Fall River,Massachusetts,Bristol County,25005,02790,41.58581220839964,-71.03741576083091,24916.42,104023.54,25376
843d8b33-f833-1324-2aa6-e07c91e49204,2006-02-11,,999-21-7770,S99967273,X52146486X,Mr.,Bart73,Long300,Koss676,,,,asian,nonhispanic,M,Seoul  Seoul  KR,190 Schaden Course Apt 11,Newton,Massachusetts,Middlesex County,25017,02459,42.40139474571546,-71.22143791125598,37287.09,8039.08,57179
392c8ae6-3c3b-1ff7-c35c-4e64946db9b6,1972-09-06,,999-89-7590,S99989620,X63733055X,Mr.,Doyle959,Daniel959,Tremblay80,,,M,white,nonhispanic,M,Carver  Massachusetts  US,638 Yost Flat Apt 28,Norfolk,Massachusetts,Norfolk County,,00000,42.14980243257528,-71.34388449811921,187007.31,36760.25,78846
754c6983-a899-1c3c-f51d-2af172b88b91,2003-11-14,,999-92-4318,S99949559,X42972024X,Ms.,Margery365,Marth98,Goodwin327,,,,white,nonhispanic,F,Dedham  Massachusetts  US,692 Rodriguez Station Unit 46,Hanson,Massachusetts,Plymouth County,25023,02341,42.08586497547052,-70.88226144947058,195848.29,73247.88,79330
10751dec-9152-b658-beeb-ba433fbb9213,1997-11-17,,999-21-1570,S99962293,X20338266X,Mrs.,Lashaun800,Yolande652,Bayer639,,Kuhic920,M,asian,nonhispanic,F,Pittsfield  Massachusetts  US,263 Heller Ferry,Dracut,Massachusetts,Middlesex County,,00000,42.68922655210128,-71.33014712712874,104057.09,434254.27,88489
054e161c-d33f-0970-2018-1f19582e0813,1972-02-21,,999-23-2998,S99914817,X35316994X,Mrs.,Zelma45,Clarinda196,Dickens475,,Reilly981,D,white,nonhispanic,F,West Springfield  Massachusetts  US,424 Will Route Unit 10,Freetown,Massachusetts,Bristol County,,00000,41.74072354029668,-71.01174631964608,533473.07,431555.06,73806
fb36d3d9-666c-c4c2-bb96-c9195538d4df,1968-12-03,2026-04-03,999-95-1753,S99977896,X56011167X,Mr.,Dario75,Tuan998,Carter549,,,M,white,nonhispanic,M,Concord  Massachusetts  US,867 Wiza Bridge,Wakefield,Massachusetts,Middlesex County,25009,01940,42.49970855907534,-71.09614584339907,196003.12,0.00,60587
0369610a-4641-e2d5-80b2-844b2bd99f16,1973-08-05,,999-73-2740,S99967622,X74871861X,Mr.,Adolfo777,Marcelino726,Lynch190,,,M,white,nonhispanic,M,Saugus  Massachusetts  US,572 Goyette Bridge Apt 68,Whitman,Massachusetts,Plymouth County,,00000,42.116290902503856,-70.9493245122243,128872.68,0.00,74767
717861a2-ab2b-2d2a-6a8f-6388dbff69d2,1968-12-03,,999-93-5385,S99954021,X79286836X,Mr.,Dusty207,Raphael767,Cronin387,,,S,white,nonhispanic,M,Chicopee  Massachusetts  US,662 Cruickshank Esplanade Unit 48,Wakefield,Massachusetts,Middlesex County,25017,01880,42.47030267566097,-71.0186274719368,201972.58,733.87,60587
4ca3be26-4f97-27f0-32fa-6ea155eba23a,1953-07-05,2024-05-12,999-65-4605,S99962666,X84441029X,Mr.,Dannie881,Efrain317,Bechtelar572,,,M,white,nonhispanic,M,Peabody  Massachusetts  US,837 Hammes Center Unit 24,Ware,Massachusetts,Hampshire County,25015,01082,42.34225841354511,-72.26512586704324,429303.57,403496.24,73593
f8540aed-49fc-9dd6-b195-288635b1d17a,1987-03-12,,999-70-7629,S99996184,X72555286X,Mr.,Clint766,Daryl568,Bashirian201,,,M,white,nonhispanic,M,Wakefield  Massachusetts  US,494 Dietrich Route Unit 62,Salem,Massachusetts,Essex County,25009,01907,42.469610320053384,-70.90541319787329,124865.43,596273.51,89349
1c39de5b-289a-3a1a-669b-2f756efb8bcb,1963-02-16,,999-45-6034,S99940512,X16060898X,Mrs.,Gaylene599,Sandie760,Feil794,,Barrows492,M,white,nonhispanic,F,Lowell  Massachusetts  US,878 Labadie Row Unit 89,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.42459868997439,-73.23175850795467,20574.03,1229650.38,22408
